beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name
-0.3457	Diseases of the eye and adnexa	H7_GLAUCOMA	Glaucoma	1.948e-12	H7_GLAUCOMA	Glaucoma	Diseases of the eye and adnexa
-0.3816	Diseases of the eye and adnexa	H7_GLAUCPRIMOPEN	Primary open-angle glaucoma	1.349e-8	H7_GLAUCPRIMOPEN	Primary open-angle glaucoma	Diseases of the eye and adnexa
-0.3221	Diseases of the eye and adnexa	H7_GLAUCSUSP	Glaucoma suspect	2.934e-7	H7_GLAUCSUSP	Glaucoma suspect	Diseases of the eye and adnexa
-0.375	Diseases of the eye and adnexa	H7_GLAUCOMA_POAG	Primary open-angle glaucoma, strict	7.245e-7	H7_GLAUCOMA_POAG	Primary open-angle glaucoma, strict	Diseases of the eye and adnexa
-0.4354	Diseases of the eye and adnexa	H7_GLAUCOMA_XFG	Glaucoma, exfoliation	0.00006676	H7_GLAUCOMA_XFG	Glaucoma, exfoliation	Diseases of the eye and adnexa
0.2319	Diseases of the circulatory system	I9_HYPTENSHR	Hypertensive heart and/or renal disease	0.0003565	I9_HYPTENSHR	Hypertensive heart and/or renal disease	Diseases of the circulatory system
0.234	Diseases of the circulatory system	I9_HYPTENSHD	Hypertensive Heart Disease	0.0007362	I9_HYPTENSHD	Hypertensive Heart Disease	Diseases of the circulatory system
0.7389	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_HAEMORRHAGE_NOT_ELSEW_CLASSIFIED	Haemorrhage, not elsewhere classified	0.0009151	R18_HAEMORRHAGE_NOT_ELSEW_CLASSIFIED	Haemorrhage, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.4618	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ELEVATED_BLOOD_GLUCOSE_LEVEL	Elevated blood glucose level	0.001082	R18_ELEVATED_BLOOD_GLUCOSE_LEVEL	Elevated blood glucose level	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
-0.3572	Diseases of the skin and subcutaneous tissue	L12_PILONIDALCYST	Pilonidal cyst	0.001356	L12_PILONIDALCYST	Pilonidal cyst	Diseases of the skin and subcutaneous tissue
0.1782	Diseases of the respiratory system	J10_CHRONRHINITIS	Chronic rhinitsi, nasopharyngitis and pharyngitis	0.001569	J10_CHRONRHINITIS	Chronic rhinitsi, nasopharyngitis and pharyngitis	Diseases of the respiratory system
-0.5194	Diseases of the eye and adnexa	H7_GLAUCCLOSEPRIM	Primary angle-closure glaucoma	0.001612	H7_GLAUCCLOSEPRIM	Primary angle-closure glaucoma	Diseases of the eye and adnexa
-0.1784	Diseases of the digestive system	K11_DIAHER	Diaphragmatic hernia	0.001728	K11_DIAHER	Diaphragmatic hernia	Diseases of the digestive system
0.7012	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_LACK_EXPEC_NORMAL_PHYSIO_DEVELOPMENT	Lack of expected normal physiological development	0.001957	R18_LACK_EXPEC_NORMAL_PHYSIO_DEVELOPMENT	Lack of expected normal physiological development	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.4255	Diseases of the digestive system	K11_KELACROHN	Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)	0.001966	K11_KELACROHN	Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)	Diseases of the digestive system
1.0822	Diseases of the nervous system	G6_CERVROOT	Cervical root disorders	0.002129	G6_CERVROOT	Cervical root disorders	Diseases of the nervous system
